distance,fuel,location,make,model,price,resource,year
134220.0,Dizel,Bar,BMW,X5,20000.0,autodiler.me,2008
25000.0,Benzin,Podgorica,Audi,80,900.0,autodiler.me,1995
270500.0,Dizel,Bijelo Polje,Audi,A3,9250.0,autodiler.me,2009
219000.0,Dizel,Rožaje,Audi,A3,8699.0,autodiler.me,2012
176000.0,Dizel,Podgorica,Peugeot,3008,18900.0,autodiler.me,2018
115000.0,Dizel,Budva,Mercedes Benz,B 180,18000.0,autodiler.me,2017
189766.0,Dizel,Podgorica,Renault,Kangoo,5600.0,autodiler.me,2012
160600.0,Dizel,Nikšić,Mercedes Benz,GLA 200,20900.0,autodiler.me,2014
245320.0,Dizel,Bar,Land Rover,Range Rover Evoque,22900.0,autodiler.me,2012
310000.0,Dizel,Nikšić,Toyota,RAV 4,6900.0,autodiler.me,2006
280000.0,Benzin,Herceg Novi,Ford,Focus,1800.0,autodiler.me,2004
148000.0,Benzin,Herceg Novi,Opel,Meriva,9500.0,autodiler.me,2013
3800000.0,Dizel,Ulcinj,Volkswagen,Passat,1900.0,autodiler.me,1999
302500.0,Dizel,Nikšić,Volkswagen,Passat,5300.0,autodiler.me,2007
260000.0,Dizel,Bar,Audi,A4,10300.0,autodiler.me,2011
223020.0,Dizel,Bijelo Polje,Volkswagen,Eos,5700.0,autodiler.me,2008
203000.0,Dizel,Cetinje,Renault,Scenic,9300.0,autodiler.me,2014
211000.0,Dizel,Kotor,Audi,A6 Allroad,25000.0,autodiler.me,2013
2640000.0,Dizel,Rožaje,Audi,A3,7700.0,autodiler.me,2010
250000.0,Dizel,Podgorica,BMW,740,24750.0,autodiler.me,2014
343.0,Dizel,Danilovgrad,Volkswagen,Passat,5750.0,autodiler.me,2007
275000.0,Dizel,Podgorica,Volkswagen,Touareg,20000.0,autodiler.me,2012
250000.0,Dizel,Podgorica,Renault,Koleos,6100.0,autodiler.me,2008
270000.0,Dizel,Nikšić,Volkswagen,Polo,5500.0,autodiler.me,2010
169000.0,Dizel,Podgorica,Volkswagen,Touareg,58000.0,autodiler.me,2018
192000.0,Benzin,Tivat,Volkswagen,Golf 5,8500.0,autodiler.me,2008
235994.0,Dizel,Cetinje,Volkswagen,Passat,13500.0,autodiler.me,2016
185000.0,Dizel,Bar,Citroen,C3,5700.0,autodiler.me,2014
242000.0,Dizel,Tivat,Volkswagen,Passat,7000.0,autodiler.me,2008
270000.0,Dizel,Podgorica,Volkswagen,Golf 5,4300.0,autodiler.me,2006
198000.0,Dizel,Herceg Novi,Audi,A4,11700.0,autodiler.me,2010
224000.0,Hibrid,Podgorica,Citroen,DS5,12200.0,autodiler.me,2013
212000.0,Dizel,Podgorica,Volkswagen,Golf 6,6750.0,autodiler.me,2010
217000.0,Dizel,Podgorica,Peugeot,4007,6650.0,autodiler.me,2009
225000.0,Dizel,Podgorica,Dacia,Duster,6850.0,autodiler.me,2010
220000.0,Dizel,Podgorica,Peugeot,208,6850.0,autodiler.me,2018
